Tileset,MetatileID,HexID,BehaviorID,BehaviorName,Terrain,Flags,RawHex
primary/building,0,0x0000,0,MB_NORMAL,0,0,0x0000
primary/building,1,0x0001,0,MB_NORMAL,0,0,0x0000
primary/building,2,0x0002,134,MB_TELEVISION,0,0,0x0086
primary/building,3,0x0003,134,MB_TELEVISION,0,0,0x0086
primary/building,4,0x0004,131,MB_PC,0,0,0x0083
primary/building,5,0x0005,131,MB_PC,0,0,0x0083
primary/building,6,0x0006,101,MB_SOUTH_ARROW_WARP,0,0,0x0065
primary/building,7,0x0007,101,MB_SOUTH_ARROW_WARP,0,0,0x0065
primary/general,0,0x0000,0,MB_NORMAL,0,0,0x0000
primary/general,1,0x0001,0,MB_NORMAL,0,0,0x0000
primary/general,2,0x0002,0,MB_NORMAL,0,0,0x0000
primary/general,3,0x0003,0,MB_NORMAL,0,0,0x0000
primary/general,4,0x0004,0,MB_NORMAL,16,0,0x1000
primary/general,5,0x0005,0,MB_NORMAL,0,0,0x0000
primary/general,6,0x0006,0,MB_NORMAL,0,0,0x0000
primary/general,7,0x0007,0,MB_NORMAL,0,0,0x0000
primary/general,8,0x0008,0,MB_NORMAL,0,0,0x0000
primary/general,9,0x0009,0,MB_NORMAL,0,0,0x0000
primary/general,10,0x000A,0,MB_NORMAL,0,0,0x0000
primary/general,11,0x000B,0,MB_NORMAL,0,0,0x0000
primary/general,12,0x000C,0,MB_NORMAL,0,0,0x0000
primary/general,13,0x000D,2,MB_TALL_GRASS,0,0,0x0002
primary/general,14,0x000E,0,MB_NORMAL,0,0,0x0000
primary/general,15,0x000F,0,MB_NORMAL,0,0,0x0000
primary/general,16,0x0010,0,MB_NORMAL,0,0,0x0000
primary/general,17,0x0011,0,MB_NORMAL,0,0,0x0000
primary/general,18,0x0012,0,MB_NORMAL,0,0,0x0000
primary/general,19,0x0013,1,MB_SECRET_BASE_WALL,0,0,0x0001
primary/general,20,0x0014,1,MB_SECRET_BASE_WALL,0,0,0x0001
primary/general,21,0x0015,3,MB_LONG_GRASS,0,0,0x0003
primary/general,22,0x0016,0,MB_NORMAL,0,0,0x0000
primary/general,23,0x0017,0,MB_NORMAL,0,0,0x0000
primary/general,24,0x0018,0,MB_NORMAL,0,0,0x0000
primary/general,25,0x0019,0,MB_NORMAL,0,0,0x0000
primary/general,26,0x001A,0,MB_NORMAL,0,0,0x0000
primary/general,27,0x001B,0,MB_NORMAL,16,0,0x1000
primary/general,28,0x001C,0,MB_NORMAL,0,0,0x0000
primary/general,29,0x001D,0,MB_NORMAL,0,0,0x0000
primary/general,30,0x001E,0,MB_NORMAL,0,0,0x0000
primary/general,31,0x001F,0,MB_NORMAL,0,0,0x0000
primary/general,32,0x0020,0,MB_NORMAL,16,0,0x1000
primary/general,33,0x0021,105,MB_ANIMATED_DOOR,0,0,0x0069
primary/general,34,0x0022,0,MB_NORMAL,16,0,0x1000
primary/general,35,0x0023,0,MB_NORMAL,0,0,0x0000
primary/general,36,0x0024,101,MB_SOUTH_ARROW_WARP,0,0,0x0065
primary/general,37,0x0025,2,MB_TALL_GRASS,0,0,0x0002
primary/general,38,0x0026,150,MB_SECRET_BASE_SPOT_TREE_LEFT,0,0,0x0096
primary/general,39,0x0027,156,MB_SECRET_BASE_SPOT_TREE_RIGHT,0,0,0x009C
primary/general,40,0x0028,0,MB_NORMAL,0,0,0x0000
primary/general,41,0x0029,0,MB_NORMAL,0,0,0x0000
primary/general,42,0x002A,0,MB_NORMAL,0,0,0x0000
primary/general,43,0x002B,0,MB_NORMAL,0,0,0x0000
primary/general,44,0x002C,21,MB_OCEAN_WATER,16,0,0x1015
primary/general,45,0x002D,16,MB_POND_WATER,0,1,0x2010
primary/general,46,0x002E,0,MB_NORMAL,0,0,0x0000
primary/general,47,0x002F,0,MB_NORMAL,0,0,0x0000
primary/general,48,0x0030,0,MB_NORMAL,0,0,0x0000
primary/general,49,0x0031,0,MB_NORMAL,0,0,0x0000
primary/general,50,0x0032,0,MB_NORMAL,0,0,0x0000
primary/general,51,0x0033,0,MB_NORMAL,0,0,0x0000
primary/general,52,0x0034,21,MB_OCEAN_WATER,16,0,0x1015
primary/general,53,0x0035,21,MB_OCEAN_WATER,0,1,0x2015
primary/general,54,0x0036,151,MB_SECRET_BASE_SPOT_TREE_LEFT_OPEN,0,0,0x0097
primary/general,55,0x0037,157,MB_SECRET_BASE_SPOT_TREE_RIGHT_OPEN,0,0,0x009D
primary/general,56,0x0038,0,MB_NORMAL,0,0,0x0000
primary/general,57,0x0039,0,MB_NORMAL,0,0,0x0000
primary/general,58,0x003A,0,MB_NORMAL,0,0,0x0000
primary/general,59,0x003B,0,MB_NORMAL,0,0,0x0000
primary/general,60,0x003C,21,MB_OCEAN_WATER,16,0,0x1015
primary/general,61,0x003D,0,MB_NORMAL,0,0,0x0000
primary/general,62,0x003E,0,MB_NORMAL,0,0,0x0000
primary/general,63,0x003F,0,MB_NORMAL,0,0,0x0000
primary/general,64,0x0040,0,MB_NORMAL,0,0,0x0000
primary/general,65,0x0041,105,MB_ANIMATED_DOOR,16,0,0x1069
primary/general,66,0x0042,0,MB_NORMAL,16,0,0x1000
primary/general,67,0x0043,0,MB_NORMAL,16,0,0x1000
primary/general,68,0x0044,0,MB_NORMAL,0,0,0x0000
primary/general,69,0x0045,0,MB_NORMAL,0,0,0x0000
primary/general,70,0x0046,0,MB_NORMAL,0,0,0x0000
primary/general,71,0x0047,0,MB_NORMAL,0,0,0x0000
primary/general,72,0x0048,0,MB_NORMAL,0,0,0x0000
primary/general,73,0x0049,0,MB_NORMAL,0,0,0x0000
primary/general,74,0x004A,0,MB_NORMAL,0,0,0x0000
primary/general,75,0x004B,0,MB_NORMAL,0,0,0x0000
primary/general,76,0x004C,19,MB_WATERFALL,0,0,0x0013
primary/general,77,0x004D,0,MB_NORMAL,0,0,0x0000
primary/general,78,0x004E,0,MB_NORMAL,0,0,0x0000
primary/general,79,0x004F,0,MB_NORMAL,0,0,0x0000
primary/general,80,0x0050,0,MB_NORMAL,0,0,0x0000
primary/general,81,0x0051,0,MB_NORMAL,0,0,0x0000
primary/general,82,0x0052,0,MB_NORMAL,0,0,0x0000
primary/general,83,0x0053,0,MB_NORMAL,0,0,0x0000
primary/general,84,0x0054,21,MB_OCEAN_WATER,0,0,0x0015
primary/general,85,0x0055,0,MB_NORMAL,0,0,0x0000
primary/general,86,0x0056,0,MB_NORMAL,0,0,0x0000
primary/general,87,0x0057,0,MB_NORMAL,0,0,0x0000
primary/general,88,0x0058,0,MB_NORMAL,0,0,0x0000
primary/general,89,0x0059,0,MB_NORMAL,0,0,0x0000
primary/general,90,0x005A,0,MB_NORMAL,0,0,0x0000
primary/general,91,0x005B,0,MB_NORMAL,0,0,0x0000
primary/general,92,0x005C,0,MB_NORMAL,0,0,0x0000
primary/general,93,0x005D,0,MB_NORMAL,0,0,0x0000
primary/general,94,0x005E,0,MB_NORMAL,0,0,0x0000
primary/general,95,0x005F,0,MB_NORMAL,0,0,0x0000
primary/general,96,0x0060,0,MB_NORMAL,16,0,0x1000
primary/general,97,0x0061,105,MB_ANIMATED_DOOR,16,0,0x1069
primary/general,98,0x0062,0,MB_NORMAL,16,0,0x1000
primary/general,99,0x0063,0,MB_NORMAL,16,0,0x1000
primary/general,100,0x0064,0,MB_NORMAL,0,0,0x0000
primary/general,101,0x0065,0,MB_NORMAL,0,0,0x0000
primary/general,102,0x0066,0,MB_NORMAL,0,0,0x0000
primary/general,103,0x0067,0,MB_NORMAL,0,0,0x0000
primary/general,104,0x0068,0,MB_NORMAL,16,0,0x1000
primary/general,105,0x0069,12,MB_MOUNTAIN_TOP,16,0,0x100C
primary/general,106,0x006A,0,MB_NORMAL,16,0,0x1000
primary/general,107,0x006B,0,MB_NORMAL,0,0,0x0000
primary/general,108,0x006C,12,MB_MOUNTAIN_TOP,0,0,0x000C
primary/general,109,0x006D,0,MB_NORMAL,0,0,0x0000
primary/general,110,0x006E,0,MB_NORMAL,16,0,0x1000
primary/general,111,0x006F,0,MB_NORMAL,16,0,0x1000
primary/general,112,0x0070,0,MB_NORMAL,16,0,0x1000
primary/general,113,0x0071,12,MB_MOUNTAIN_TOP,0,0,0x000C
primary/general,114,0x0072,0,MB_NORMAL,16,0,0x1000
primary/general,115,0x0073,0,MB_NORMAL,0,0,0x0000
primary/general,116,0x0074,0,MB_NORMAL,0,0,0x0000
primary/general,117,0x0075,0,MB_NORMAL,0,0,0x0000
primary/general,118,0x0076,0,MB_NORMAL,16,0,0x1000
primary/general,119,0x0077,0,MB_NORMAL,16,0,0x1000
primary/general,120,0x0078,0,MB_NORMAL,16,0,0x1000
primary/general,121,0x0079,0,MB_NORMAL,0,0,0x0000
primary/general,122,0x007A,0,MB_NORMAL,16,0,0x1000
primary/general,123,0x007B,0,MB_NORMAL,0,0,0x0000
primary/general,124,0x007C,0,MB_NORMAL,0,0,0x0000
primary/general,125,0x007D,0,MB_NORMAL,0,0,0x0000
primary/general,126,0x007E,0,MB_NORMAL,16,0,0x1000
primary/general,127,0x007F,0,MB_NORMAL,16,0,0x1000
primary/general,128,0x0080,0,MB_NORMAL,16,0,0x1000
primary/general,129,0x0081,12,MB_MOUNTAIN_TOP,16,0,0x100C
primary/general,130,0x0082,0,MB_NORMAL,16,0,0x1000
primary/general,131,0x0083,0,MB_NORMAL,0,0,0x0000
primary/general,132,0x0084,0,MB_NORMAL,0,0,0x0000
primary/general,133,0x0085,57,MB_JUMP_WEST,16,0,0x1039
primary/general,134,0x0086,56,MB_JUMP_EAST,16,0,0x1038
primary/general,135,0x0087,59,MB_JUMP_SOUTH,16,0,0x103B
primary/general,136,0x0088,0,MB_NORMAL,16,0,0x1000
primary/general,137,0x0089,0,MB_NORMAL,0,0,0x0000
primary/general,138,0x008A,0,MB_NORMAL,16,0,0x1000
primary/general,139,0x008B,0,MB_NORMAL,16,0,0x1000
primary/general,140,0x008C,0,MB_NORMAL,16,0,0x1000
primary/general,141,0x008D,63,MB_JUMP_SOUTHWEST,16,0,0x103F
primary/general,142,0x008E,62,MB_JUMP_SOUTHEAST,16,0,0x103E
primary/general,143,0x008F,59,MB_JUMP_SOUTH,16,0,0x103B
primary/general,144,0x0090,0,MB_NORMAL,16,0,0x1000
primary/general,145,0x0091,0,MB_NORMAL,0,0,0x0000
primary/general,146,0x0092,0,MB_NORMAL,16,0,0x1000
primary/general,147,0x0093,0,MB_NORMAL,0,0,0x0000
primary/general,148,0x0094,0,MB_NORMAL,0,0,0x0000
primary/general,149,0x0095,57,MB_JUMP_WEST,16,0,0x1039
primary/general,150,0x0096,56,MB_JUMP_EAST,16,0,0x1038
primary/general,151,0x0097,59,MB_JUMP_SOUTH,16,0,0x103B
primary/general,152,0x0098,16,MB_POND_WATER,0,1,0x2010
primary/general,153,0x0099,16,MB_POND_WATER,0,1,0x2010
primary/general,154,0x009A,16,MB_POND_WATER,0,1,0x2010
primary/general,155,0x009B,0,MB_NORMAL,16,0,0x1000
primary/general,156,0x009C,0,MB_NORMAL,16,0,0x1000
primary/general,157,0x009D,63,MB_JUMP_SOUTHWEST,16,0,0x103F
primary/general,158,0x009E,62,MB_JUMP_SOUTHEAST,16,0,0x103E
primary/general,159,0x009F,0,MB_NORMAL,0,0,0x0000
primary/general,160,0x00A0,0,MB_NORMAL,16,0,0x1000
primary/general,161,0x00A1,16,MB_POND_WATER,16,0,0x1010
primary/general,162,0x00A2,0,MB_NORMAL,16,0,0x1000
primary/general,163,0x00A3,0,MB_NORMAL,0,0,0x0000
primary/general,164,0x00A4,0,MB_NORMAL,0,0,0x0000
primary/general,165,0x00A5,57,MB_JUMP_WEST,16,0,0x1039
primary/general,166,0x00A6,56,MB_JUMP_EAST,16,0,0x1038
primary/general,167,0x00A7,96,MB_NON_ANIMATED_DOOR,0,0,0x0060
primary/general,168,0x00A8,0,MB_NORMAL,16,0,0x1000
primary/general,169,0x00A9,0,MB_NORMAL,0,0,0x0000
